[2024-12-28 12:06:00,367: INFO: main: welcome to the first logging]
[2024-12-28 20:11:36,206: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:11:39,540: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:11:39,680: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:13:03,551: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:13:03,558: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:13:03,563: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:13:26,908: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:13:26,914: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:13:26,919: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:15:42,803: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:15:42,811: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:15:42,814: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:17:14,062: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:17:14,069: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:17:14,074: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:20:42,527: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:20:42,544: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:20:42,549: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:21:26,107: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:21:26,111: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:21:26,117: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:23:20,920: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:23:20,938: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:23:20,942: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:23:20,945: INFO: common: created directory at artificts]
[2024-12-28 20:23:20,948: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 20:37:31,729: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:37:32,215: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:37:32,220: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:37:32,280: INFO: common: created directory at artificts]
[2024-12-28 20:37:32,321: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 20:39:38,648: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:39:38,653: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:39:38,657: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:39:38,660: INFO: common: created directory at artificts]
[2024-12-28 20:39:38,664: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 20:41:28,226: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:41:28,230: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:41:28,233: INFO: common: yaml file -> {filename} loadded successfuly]
[2024-12-28 20:41:28,235: INFO: common: created directory at artificts]
[2024-12-28 20:41:28,238: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 20:46:59,510: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 20:46:59,558: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 20:46:59,562: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 20:46:59,565: INFO: common: created directory at artificts]
[2024-12-28 20:46:59,568: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 20:56:49,861: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 20:56:49,866: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 20:56:49,894: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 20:56:49,898: INFO: common: created directory at artificts]
[2024-12-28 20:56:49,906: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:07:23,261: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 21:07:23,370: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:07:23,374: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:07:23,376: INFO: common: created directory at artificts]
[2024-12-28 21:07:23,381: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:07:41,094: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 21:07:41,100: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:07:41,106: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:07:41,109: INFO: common: created directory at artificts]
[2024-12-28 21:07:41,113: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:08:21,600: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 21:08:21,612: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:08:21,617: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:08:21,622: INFO: common: created directory at artificts]
[2024-12-28 21:08:21,628: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:08:25,080: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 21:08:25,088: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:08:25,094: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:08:25,099: INFO: common: created directory at artificts]
[2024-12-28 21:08:25,105: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:08:39,779: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 21:08:39,802: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:08:39,806: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:08:39,809: INFO: common: created directory at artificts]
[2024-12-28 21:08:39,821: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:09:36,592: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 21:09:36,602: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:09:36,611: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:09:36,618: INFO: common: created directory at artificts]
[2024-12-28 21:09:36,630: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:10:32,423: INFO: common: yaml file -> config/config.yaml loadded successfuly]
